review_rank_global,review_rank_project,review_bucket,review_reason,project_id,project_name,list_type,category,quadrant,quadrant_label,review_priority,scale_video_count_tier,scale_video_count_best,scale_best_hashtag,likely_reach_tier,raw_reach_tier,inclusive_reach_tier,reach_noise_risk,low_relevance_play_ratio_project,likely_play_ratio_project,video_id,web_url,author_unique_id,source_term,term_script,ceiling_class,quality_label_auto,quality_score_auto,quality_reasons_auto,matched_terms_auto,core_matched_terms_auto,negative_matched_terms_auto,stats_play_count,stats_digg_count,stats_comment_count,stats_share_count,stats_collect_count,hashtags,desc,manual_relevance,manual_noise_type,manual_language_reach,manual_audience_proxy,manual_notes
11,1,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7349714092636114218,https://www.tiktok.com/@mazufashion/video/7349714092636114218,mazufashion,mazu,latin,exhausted,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,mazu,mazu,,10600000,744500,4723,63200,92700,mazufashion;fyp;foryou;ca;anaheim;oc;localclothingstore;fashiontok;dickies;cargopants;onlineshopping,Dickies men’s cargo pants 😍 #mazufashion #fyp #foryou #ca #anaheim #oc #localclothingstore #localclothingstore #fashiontok #foryou #dickies #cargopants #onlineshopping @Dickies,,,,,
12,2,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,6986731037648833797,https://www.tiktok.com/@shinanova/video/6986731037648833797,shinanova,seagoddess,latin,boundary,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,seagoddess,seagoddess,,6400000,1200000,4142,7956,50800,sedna;inuit;legend;culture,"Sedna, also called ""Nuliajuk"". The Sea Goddess🙌🏼 Maintain a good relationship with her to provide for our people #sedna #inuit #legend #culture",,,,,
13,3,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7290114627067792673,https://www.tiktok.com/@markostrakas/video/7290114627067792673,markostrakas,mazu,latin,exhausted,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,mazu,mazu,,4400000,65500,990,1925,5235,markostrakas;underwater;shipyard;hardwork;hardliving;diver;comercialdiving;gopro;orcatorchd910v;orcatoch;tiktokviral;nightdiving;nightcore;strongtorch;greecetiktok;syros;mares;insta360x3,"Underwater Inspection of ship hull with the Use of @orcatorch D910V and Mazu TD01 dive headlamp. For more info about it, please see the profile link #markostrakas #underwater #shipyard #hardwork #hardliving #diver #comercialdiving #gopro #orcatorchd910v #orca…",,,,,
14,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7194115439113424129,https://www.tiktok.com/@moolaoshi/video/7194115439113424129,moolaoshi,妈祖,cjk,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,2800000,261100,1404,12300,27900,chinese;中文;中文学习;fypシ;fyp;mandarin;baby;cutebaby;babytalk;funny,#chinese #中文 #中文学习 #fypシ #fyp #mandarin #baby #cutebaby #babytalk #funny,,,,,
15,5,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7574320708361276685,https://www.tiktok.com/@ziyoufujian/video/7574320708361276685,ziyoufujian,妈祖,cjk,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,1300000,24100,2714,3312,3333,ForYourPride;TikTokLearningCampaign;日本;靖國神社;japan;japanese;日本人學校;日本人学校;独裁者;國民黨;民進黨;賴清德;台灣;taiwan;中華民國台灣;台獨;台灣獨立;人權;民主;言論自由;大外宣,#ForYourPride #TikTokLearningCampaign #日本 #靖國神社 #Japan #Japanese #日本人學校 #日本人学校#独裁者 #國民黨 #民進黨 #賴清德 #台灣 #taiwan #中華民國台灣 #台獨 #台灣獨立 #人權 #民主 #言論自由#大外宣,,,,,
16,6,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7083716709554736385,https://www.tiktok.com/@mazzu777/video/7083716709554736385,mazzu777,mazu,latin,exhausted,low_relevance,0,,,,,33600000,182800,31500,3298,40700,김준호;마쭈;mazzu;cat;추천;추천떠라;fyp;tiktokcomedy;웃긴영상;틱톡순삭;viral;xyzbca;이어찍기,허허.🤔 #김준호 #마쭈 #mazzu #cat #추천 #추천떠라 #fyp #comedy #tiktokcomedy #웃긴영상 #틱톡순삭 #viral #xyzbca #이어찍기 @junya1gou,,,,,
17,7,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7468804154434030870,https://www.tiktok.com/@aren.aex/video/7468804154434030870,aren.aex,妈祖,cjk,ceiling_capped,low_relevance,0,,,,,17100000,1300000,3230,22400,127800,daenerystargaryen;daenerystargaryenedit;motherofdragons;targaryen;gameofthronesedit;hotd,DROGO EDIT | cr:@soso✨ #daenerystargaryen #daenerystargaryenedit #motherofdragons #targaryen #gameofthronesedit #hotd,,,,,
18,8,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7095316737561758977,https://www.tiktok.com/@mazzu777/video/7095316737561758977,mazzu777,mazu,latin,exhausted,low_relevance,0,,,,,15900000,1900000,5601,18800,60100,김준호;마쭈;mazzu;cat;추천;추천떠라;fyp;tiktokcomedy;웃긴영상;틱톡순삭;viral;xyzbca;stitch;trending,어때 ✌🏻 #김준호 #마쭈 #mazzu #cat #추천 #추천떠라 #fyp #comedy #tiktokcomedy #웃긴영상 #틱톡순삭 #viral #xyzbca #stitch #trending,,,,,
19,9,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7466847117730909446,https://www.tiktok.com/@jessechrisss/video/7466847117730909446,jessechrisss,seagoddess,latin,boundary,low_relevance,0,,,,,14600000,1500000,21100,187900,67000,,Addressing the mermaid goddess in the room. Original: @Heidi (i love ur vision),,,,,
20,10,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,39,妈祖信俗,RL,民俗信仰,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,13995,mazu,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7321,0.2385,7325321700340550954,https://www.tiktok.com/@neurodivergent_art/video/7325321700340550954,neurodivergent_art,seagoddess,latin,boundary,low_relevance,0,,,,,13100000,1200000,4558,13400,190100,feminierage;femalerage;oceangoddess;watergoddess;goddess;fantasy;mythology;oc;originalcharcters;animation;animator;animatorsoftiktok;trend;trending;trendingsong;fyp;art;artist;artistsoftiktok;neurodivergent;neurodivergentart;disneyartist;pixarartist,Here’s the full song of “Get in the Water” as per requested by @. 💙 Enjoy! #feminierage #femalerage #oceangoddess #watergoddess #goddess #fantasy #mythology #oc #originalcharcters #animation #animator #animatorsoftiktok #trend #trending #trendingsong #fyp #ar…,,,,,
21,1,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7245435626198191402,https://www.tiktok.com/@aaleiyasart/video/7245435626198191402,aaleiyasart,blockprinting,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,blockprinting,blockprinting,,11400000,729600,682,3671,54900,blockprint;blockprinting;linocut;linoprintprocess;printmakingprocess;printmaking;printmaker;handmade;handcarvedstamp;artistsoftiktok;arttok;skull;jaw;skeleton,Jaw dropping #blockprint #blockprinting #linocut #linoprintprocess #printmakingprocess #printmaking #printmaker #handmade #handcarvedstamp #artistsoftiktok #arttok #skull #jaw #skeleton,,,,,
22,2,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7519937366031748374,https://www.tiktok.com/@wooden.stamp.printing/video/7519937366031748374,wooden.stamp.printing,blockprinting,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,blockprinting,blockprinting,,6800000,27900,196,641,1718,blockprinting;handmadeart;printmaking;DIY,"Bold Prints, Timeless Craft | Block Printing Magic in Action! 🖼️✨ #BlockPrinting #HandmadeArt #Printmaking #DIY",,,,,
23,3,likely_evidence,检查高存量低/中触达项目中少数有效触达视频的性质,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7638641049614765343,https://www.tiktok.com/@paintingexplained/video/7638641049614765343,paintingexplained,woodblock,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,woodblock,woodblock,,5200000,415300,645,9680,30800,,"The Great Wave off Kanagawa (1831) by The Great Wave off Kanagawa Created by Katsushika Hokusai 📍 Metropolitan Museum of Art and other collections This isn’t just a painting of a wave. It’s a painting about fear, survival, and how small humans really are. At …",,,,,
24,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7480814745877007621,https://www.tiktok.com/@shoubkbr7m9/video/7480814745877007621,shoubkbr7m9,雕版,cjk,exhausted,needs_review,2,china_context;cjk_desc,,,,5900000,99900,932,1973,3789,根雕艺术作品;匠心制作;木雕制作过程;人生感悟;非遗传承;木雕艺术;家居摆件收藏品;中国制造;摆件;木雕作品;全球发货;好物分享;私信我;上熱門;木雕;上推薦通知我;大气磅礴;工艺品;艺术;木雕艺术作品,一件别具一格，且富有深意的作品#根雕艺术作品 #匠心制作 #木雕制作过程 #人生感悟 #非遗传承 #木雕艺术 #家居摆件收藏品 #中国制造 #摆件 #木雕作品 #全球发货 #好物分享 #私信我 #上熱門 #木雕 #上推薦通知我 #大气磅礴 #工艺品 #艺术 #木雕艺术作品,,,,,
25,5,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7461817575417122053,https://www.tiktok.com/@shoubkbr7m9/video/7461817575417122053,shoubkbr7m9,雕版,cjk,exhausted,needs_review,2,china_context;cjk_desc,,,,5400000,101400,888,25800,6553,匠心之作;摆件;木雕作品;匠心制作;非遗传承;木雕艺术;家居摆件收藏品;中国制造;全球发货;好物分享;私信我;上熱門;木雕;上推薦通知我;上推薦;上热门;加line15593333;買包加line15593333;買錶加line15593333;買鞋加line15593333,#匠心之作 #摆件 #木雕作品 #匠心制作 #非遗传承 #木雕艺术 #家居摆件收藏品 #中国制造 #全球发货 #好物分享 #私信我 #上熱門 #木雕 #上推薦通知我 #上推薦 #上热门 #加line15593333 #買包加line15593333 #買錶加line15593333 #買鞋加line15593333,,,,,
26,6,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7322759248818081055,https://www.tiktok.com/@explore.china6/video/7322759248818081055,explore.china6,雕版印刷,cjk,ceiling_capped,low_relevance,1,china_context,,,,24400000,1200000,5155,7304,76300,handcraft;handmade;fyp;LearnOnTikTok;chineseculture,#handcraft #handmade #fyp #learnontiktok #chineseculture,,,,,
27,7,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7334756867647786282,https://www.tiktok.com/@tt45484/video/7334756867647786282,tt45484,雕版,cjk,exhausted,low_relevance,1,china_context,,,,23000000,931300,8739,16100,60800,culture;handcraft;ancient;chineseclture;china;handwork,#culture #handcraft #ancient #chineseclture #china #handwork,,,,,
28,8,low_noise_probe,核查 low_relevance 高播放噪声是否为撞词/泛词/错项目,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,6980455050179005702,https://www.tiktok.com/@skylineprintworks/video/6980455050179005702,skylineprintworks,blockprinting,latin,ceiling_capped,low_relevance,0,,,,,21000000,2100000,3417,9264,50400,printmaking;arttok;blockprint;jigsawprint;oddlysatisfying;asmr;trusttheprocess,Part 2! #printmaking #arttok #blockprint #jigsawprint #oddlysatisfying #asmr #trusttheprocess,,,,,
29,9,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7335093410476330282,https://www.tiktok.com/@tt45484/video/7335093410476330282,tt45484,雕版,cjk,exhausted,low_relevance,1,china_context,,,,20400000,463600,2925,3821,23400,culture;handcraft;ancient;chineseclture;china;handwork,#culture #handcraft #ancient #chineseclture #china #handwork,,,,,
30,10,raw_top_probe,核查 raw top 是否由低相关热门视频撑高,40,中国雕版印刷技艺,RL,传统手工艺,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,mid,31993,blockprinting,middle_40_70pct_reach,lower_70_90pct_reach,middle_40_70pct_reach,high,0.7786,0.172,7625883087649410324,https://www.tiktok.com/@chinesefood388/video/7625883087649410324,chinesefood388,雕版印刷,cjk,ceiling_capped,low_relevance,1,china_context,,,,17100000,306000,2143,12200,17500,streetfood;viralfood;yummyfood;foodtruck,#streetfood #viralfood #yummyfood #foodtruck,,,,,
31,1,likely_evidence,验证 likely_relevant 触达信号,4,送王船,RL,民俗仪式,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,long_tail,1302,wangkang,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.8049,0.1295,6951247895182036225,https://www.tiktok.com/@ong_chu_nha_que/video/6951247895182036225,ong_chu_nha_que,ongchun,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,ongchun,ongchun,,9100000,386400,2111,2461,1933,ongchunhaque;fyp,Chị rắn cắn chuẩn... lên bàn ngồi 😂😂😂 #ongchunhaque #fyp,,,,,
32,2,likely_evidence,验证 likely_relevant 触达信号,4,送王船,RL,民俗仪式,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,long_tail,1302,wangkang,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.8049,0.1295,7404731973144481030,https://www.tiktok.com/@handyyang1/video/7404731973144481030,handyyang1,wangkang,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,wangkang,wangkang,,6100000,33000,274,1117,2432,tradisitionghwa,"Sembahyang Rebut, pembakaran Kapal Wang Kang.#tradisitionghwa",,,,,
33,3,likely_evidence,验证 likely_relevant 触达信号,4,送王船,RL,民俗仪式,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,long_tail,1302,wangkang,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.8049,0.1295,7398811777930104071,https://www.tiktok.com/@longchunchun/video/7398811777930104071,longchunchun,ongchun,latin,ceiling_capped,likely_relevant,4,source_hit;project_term_hits:1;core_term_hits:1,ongchun,ongchun,,6000000,123600,554,1387,3125,,"Bà chị 5 đứa con trai 🤣 sướng ghê giờ đỡ phải ăn ngoài, cái miến này siu ngonnnn",,,,,
34,4,needs_review_boundary,判定 needs_review 是否应回流到 likely 或 low，影响 inclusive 触达,4,送王船,RL,民俗仪式,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,long_tail,1302,wangkang,middle_40_70pct_reach,bottom_10pct_reach,lower_70_90pct_reach,high,0.8049,0.1295,7206675869862022401,https://www.tiktok.com/@janet252539/video/7206675869862022401,janet252539,ongchun,latin,ceiling_capped,needs_review,2,china_context;cjk_desc,,,,8300000,409900,1605,3412,26400,真的没喝多;中国語ラップ;低音女子;ぺろぺろきゃんでー,@yuduki101493に返信 #真的没喝多 #中国語ラップ #低音女子 #ぺろぺろきゃんでー のオリジナル曲配信中です💖プロフのリンクから飛んで是非にチェックしてください💖,,,,,
