project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,youtube_collection_state_counts,youtube_three_page_lower_bound_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
11,麦西热甫,Meshrep,USL,表演艺术/民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,196,141,135,"{""ceiling_capped_500"": 472}",0,472,3230525048,789,6844333,59934,6202280,25951403,152761817,603512600,218,142,110,88,4,66361334,267212,0,13533013,29549,0,V9PK9c6vI1Y,https://www.youtube.com/watch?v=V9PK9c6vI1Y,foil magnet experiment — ,196,66936888,225,341515,1132,8686,43286,1941772,51231800,52,18,6,3,4,1132744,9227,0,578117,6474,0,I9QSaS0wX2Y,https://www.youtube.com/watch?v=I9QSaS0wX2Y,"Ancient Chinese Movable Type Printing | Cultural Heritage, Education & Tourism Documentary — Ancient Chinese Movable Type Printing | Cultural Heritage, Education & Tourism Documentary

📝 Description:
Discover the timeles",337,555706852,423,1648982,2407,30879,124265,65056268,148587870,114,46,19,12,4,13701893,41426,0,6428448,14607,0,uXweIKQaO2Y,https://www.youtube.com/watch?v=uXweIKQaO2Y,Making a letterpress print for our friends at @azra-games using a tabletop printing press — Did you know that there's a video game studio just two blocks away from the Sacramento History Museum in Old Sacramento?Azra Gam,135,2674818196,1394544,19813468,8143548,32997640,86962733,309591997,603512600,104,96,91,76,0,52659441,225786,0,13533013,29549,0,V9PK9c6vI1Y,https://www.youtube.com/watch?v=V9PK9c6vI1Y,foil magnet experiment — ,0.4153,0.714,0.286,0.0207,0.172,0.828,high,top_20pct_reach,7.883871,lower_70_90pct_reach,5.988126,middle_40_70pct_reach,6.608219,True,-3
14,京剧,Peking opera,RL,表演艺术(戏曲),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
18,羌年,Qiang New Year festival,USL,节庆民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
22,南音,Nanyin,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
23,南京云锦织造技艺,Craftsmanship of Nanjing Yunjin brocade,RL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
24,宣纸传统制作技艺,Traditional handicrafts of making Xuan paper,RL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
25,粤剧,Yueju opera,RL,表演艺术(戏曲),46,2,2,"{""failed"": 50}",0,50,22958250,63539,459165,522517,1168730,1528441,4712492,4951964,45,40,22,8,0,255999,14025,0,168204,9287,0,5rgNRdbPdtg,https://www.youtube.com/watch?v=5rgNRdbPdtg,"帝女花之香夭 Fragrant Sacrifice 任白名曲Yam Kim Fei and Bak Suit Sin — This is probably the most well-known excerpt from the most-watched Cantonese Opera in the world.  I have supplied English subtitles here, hoping that those who",46,14574286,44331,316832,270773,725832,1123063,3388233,4951964,41,36,18,4,0,63010,4067,0,17391,1359,0,5rgNRdbPdtg,https://www.youtube.com/watch?v=5rgNRdbPdtg,"帝女花之香夭 Fragrant Sacrifice 任白名曲Yam Kim Fei and Bak Suit Sin — This is probably the most well-known excerpt from the most-watched Cantonese Opera in the world.  I have supplied English subtitles here, hoping that those who",48,17311950,54120,360666,410330,1085536,1368553,3362688,4951964,43,38,20,6,0,80130,4423,0,17391,1359,0,5rgNRdbPdtg,https://www.youtube.com/watch?v=5rgNRdbPdtg,"帝女花之香夭 Fragrant Sacrifice 任白名曲Yam Kim Fei and Bak Suit Sin — This is probably the most well-known excerpt from the most-watched Cantonese Opera in the world.  I have supplied English subtitles here, hoping that those who",2,5646300,2823150,2823150,3643198,4135227,4299236,4430444,4463246,2,2,2,2,0,175869,9602,0,168204,9287,0,EmHYhDXz-Zs,https://www.youtube.com/watch?v=EmHYhDXz-Zs,京劇【鍘美案】包公 唱段 — 【鍘美案】包公 唱段,0.92,0.96,0.04,0.6348,0.7541,0.2459,low,lower_70_90pct_reach,6.215944,lower_70_90pct_reach,6.091728,lower_70_90pct_reach,6.15229,False,0
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
29,藏戏,Xizang opera,RL,表演艺术(戏曲),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
30,玛纳斯,Manas,RL,口头传统/史诗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
32,花儿,Hua'er,RL,表演艺术(民歌),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,RL,表演艺术(舞蹈),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
34,中国书法,Chinese calligraphy,RL,传统手工艺/视觉艺术,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
